industry_id,zip_code,value
Transportation & warehousing ,60619,0
Transportation & warehousing ,60620,463
Transportation & warehousing ,60621,6
Transportation & warehousing ,60622,"1,811"
Transportation & warehousing ,60623,181
Transportation & warehousing ,60624,156
Transportation & warehousing ,60625,74
Transportation & warehousing ,60626,15
Transportation & warehousing ,60627,0
Transportation & warehousing ,60628,673
Transportation & warehousing ,60629,420
Transportation & warehousing ,60630,196
Transportation & warehousing ,60631,134
Transportation & warehousing ,60632,"4,544"
Transportation & warehousing ,60633,294
Transportation & warehousing ,60634,253
Transportation & warehousing ,60635,23
Transportation & warehousing ,60636,116
Transportation & warehousing ,60637,22
Transportation & warehousing ,60638,"8,583"
Transportation & warehousing ,60639,111
Transportation & warehousing ,60640,0
Transportation & warehousing ,60641,241
Transportation & warehousing ,60643,47
Transportation & warehousing ,60644,0
Transportation & warehousing ,60645,55
Transportation & warehousing ,60646,207
Transportation & warehousing ,60647,0
Transportation & warehousing ,60649,0
Transportation & warehousing ,60651,0
Transportation & warehousing ,60652,123
Transportation & warehousing ,60653,265
Transportation & warehousing ,60655,20
Transportation & warehousing ,60656,240
Transportation & warehousing ,60657,212
Transportation & warehousing ,60659,47
Transportation & warehousing ,60660,26
Transportation & warehousing ,60661,29
Transportation & warehousing ,60666,"30,436"
Information ,60601,"4,448"
Information ,60602,"1,790"
Information ,60603,"1,016"
Information ,60604,"1,213"
Information ,60606,"6,017"
Information ,60607,946
Information ,60608,"1,066"
Information ,60609,58
Information ,60610,"8,544"
Information ,60611,"5,039"
Information ,60612,76
Information ,60613,129
Information ,60614,"1,494"
Information ,60615,120
Information ,60616,223
Information ,60617,48
Information ,60618,948
Information ,60619,15
Information ,60620,95
Information ,60621,0
Information ,60622,401
Information ,60623,29
Information ,60624,0
Information ,60625,639
Information ,60626,55
Information ,60627,0
Information ,60628,0
Information ,60629,64
Information ,60630,94
Information ,60631,0
Information ,60632,22
Information ,60633,0
Information ,60634,23
Information ,60635,0
Information ,60636,0
Information ,60637,74
Information ,60638,81
Information ,60639,309
Information ,60640,117
Information ,60641,127
Information ,60643,25
Information ,60644,0
Information ,60645,11
Information ,60646,0
Information ,60647,298
Information ,60649,4
Information ,60651,0
Information ,60652,49
Information ,60653,0
Information ,60655,0
Information ,60656,8
Information ,60657,376
Information ,60659,87
Information ,60660,197
Information ,60661,"1,847"
Information ,60666,0
Finance & insurance ,60601,"15,429"
Finance & insurance ,60602,"5,047"
Finance & insurance ,60603,"19,137"
Finance & insurance ,60604,"7,968"
Finance & insurance ,60606,"29,697"
Finance & insurance ,60607,"3,865"
Finance & insurance ,60608,624
Finance & insurance ,60609,563
Finance & insurance ,60610,"4,467"
Finance & insurance ,60611,"1,966"
Finance & insurance ,60612,161
Finance & insurance ,60613,"2,097"
Finance & insurance ,60614,612
Finance & insurance ,60615,161
Finance & insurance ,60616,262
Finance & insurance ,60617,333
Finance & insurance ,60618,907
Finance & insurance ,60619,78
Finance & insurance ,60620,341
Finance & insurance ,60621,15
Finance & insurance ,60622,501
Finance & insurance ,60623,272
Finance & insurance ,60624,30
Finance & insurance ,60625,188
Finance & insurance ,60626,104
Finance & insurance ,60627,0
Finance & insurance ,60628,75
Finance & insurance ,60629,235
Finance & insurance ,60630,731
Finance & insurance ,60631,"1,786"
Finance & insurance ,60632,403
Finance & insurance ,60633,112
Finance & insurance ,60634,509
Finance & insurance ,60635,0
Finance & insurance ,60636,76
Finance & insurance ,60637,36
Finance & insurance ,60638,453
Finance & insurance ,60639,248
Finance & insurance ,60640,425
Finance & insurance ,60641,533
Finance & insurance ,60643,282
Finance & insurance ,60644,23
Finance & insurance ,60645,254
Finance & insurance ,60646,627
Finance & insurance ,60647,333
Finance & insurance ,60649,48
Finance & insurance ,60651,18
Finance & insurance ,60652,102
Finance & insurance ,60653,67
Finance & insurance ,60655,84
Finance & insurance ,60656,315
Finance & insurance ,60657,280
Finance & insurance ,60659,396
Finance & insurance ,60660,107
Finance & insurance ,60661,"5,606"
Finance & insurance ,60666,0
Real estate & rental & leasing ,60601,"1,931"
Real estate & rental & leasing ,60602,752
Real estate & rental & leasing ,60603,"1,181"
Real estate & rental & leasing ,60604,485
Real estate & rental & leasing ,60606,"4,797"
Real estate & rental & leasing ,60607,840
Real estate & rental & leasing ,60608,469
Real estate & rental & leasing ,60609,196
Real estate & rental & leasing ,60610,"4,179"
Real estate & rental & leasing ,60611,"2,032"
Real estate & rental & leasing ,60612,235
Real estate & rental & leasing ,60613,538
Real estate & rental & leasing ,60614,888
Real estate & rental & leasing ,60615,558
Real estate & rental & leasing ,60616,920
Real estate & rental & leasing ,60617,69
Real estate & rental & leasing ,60618,543
Real estate & rental & leasing ,60619,98
Real estate & rental & leasing ,60620,93
Real estate & rental & leasing ,60621,55
Real estate & rental & leasing ,60622,899
Real estate & rental & leasing ,60623,33
Real estate & rental & leasing ,60624,24
Real estate & rental & leasing ,60625,96
Real estate & rental & leasing ,60626,236
Real estate & rental & leasing ,60627,0
Real estate & rental & leasing ,60628,63
Real estate & rental & leasing ,60629,225
Real estate & rental & leasing ,60630,259
Real estate & rental & leasing ,60631,306
Real estate & rental & leasing ,60632,296
Real estate & rental & leasing ,60633,0
Real estate & rental & leasing ,60634,110
Real estate & rental & leasing ,60635,27
Real estate & rental & leasing ,60636,36
Real estate & rental & leasing ,60637,301
Real estate & rental & leasing ,60638,293
Real estate & rental & leasing ,60639,110
Real estate & rental & leasing ,60640,"1,143"
Real estate & rental & leasing ,60641,383
Real estate & rental & leasing ,60643,69
Real estate & rental & leasing ,60644,260
Real estate & rental & leasing ,60645,97
Real estate & rental & leasing ,60646,261
Real estate & rental & leasing ,60647,305
Real estate & rental & leasing ,60649,0
Real estate & rental & leasing ,60651,77
Real estate & rental & leasing ,60652,129
Real estate & rental & leasing ,60653,116
