zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60621,18,04/26/2020,05/02/2020,56.0,322.0,245,1007,9,24
60622,10,03/01/2020,03/07/2020,,,2,2,0,0
60626,18,04/26/2020,05/02/2020,166.0,584.0,413,1685,12,38
60611,15,04/05/2020,04/11/2020,9.0,64.0,62,357,0,0
60612,14,03/29/2020,04/04/2020,65.0,119.0,169,465,3,4
60632,10,03/01/2020,03/07/2020,,,3,3,0,0
60649,10,03/01/2020,03/07/2020,,,1,1,0,0
60624,14,03/29/2020,04/04/2020,85.0,130.0,178,402,5,5
60633,16,04/12/2020,04/18/2020,12.0,24.0,53,119,0,0
60607,12,03/15/2020,03/21/2020,11.0,11.0,73,84,0,0
60617,18,04/26/2020,05/02/2020,131.0,570.0,845,2512,3,28
60641,18,04/26/2020,05/02/2020,218.0,658.0,656,2172,6,22
60645,11,03/08/2020,03/14/2020,,,4,4,0,0
60638,14,03/29/2020,04/04/2020,39.0,67.0,206,415,1,1
60666,18,04/26/2020,05/02/2020,,,0,0,0,0
60652,14,03/29/2020,04/04/2020,48.0,87.0,152,301,2,3
60608,16,04/12/2020,04/18/2020,119.0,398.0,352,1166,6,10
60625,18,04/26/2020,05/02/2020,219.0,694.0,813,2253,15,40
60639,18,04/26/2020,05/02/2020,558.0,1485.0,1398,3688,13,44
60637,20,05/10/2020,05/16/2020,77.0,491.0,488,2719,1,16
60661,18,04/26/2020,05/02/2020,4.0,26.0,31,160,0,0
60644,12,03/15/2020,03/21/2020,11.0,15.0,78,97,0,0
60631,12,03/15/2020,03/21/2020,7.0,9.0,23,28,0,0
60656,13,03/22/2020,03/28/2020,10.0,12.0,146,174,0,0
60640,19,05/03/2020,05/09/2020,81.0,592.0,430,2263,15,61
60659,12,03/15/2020,03/21/2020,14.0,15.0,61,67,0,0
60652,10,03/01/2020,03/07/2020,,,0,0,0,0
60707,16,04/12/2020,04/18/2020,4.0,35.0,86,275,1,2
60643,18,04/26/2020,05/02/2020,75.0,522.0,406,2255,10,33
60611,20,05/10/2020,05/16/2020,10.0,112.0,243,1281,0,2
60604,13,03/22/2020,03/28/2020,,,7,7,0,0
60601,14,03/29/2020,04/04/2020,7.0,27.0,21,97,0,0
60614,19,05/03/2020,05/09/2020,104.0,395.0,369,1954,10,46
60618,12,03/15/2020,03/21/2020,18.0,20.0,98,117,0,0
60606,12,03/15/2020,03/21/2020,,,15,18,0,0
60605,17,04/19/2020,04/25/2020,27.0,112.0,106,543,0,0
60616,12,03/15/2020,03/21/2020,9.0,10.0,71,89,0,1
60625,12,03/15/2020,03/21/2020,19.0,20.0,88,101,1,1
60642,12,03/15/2020,03/21/2020,,,35,39,0,0
60647,16,04/12/2020,04/18/2020,109.0,252.0,337,1053,7,8
60634,16,04/12/2020,04/18/2020,109.0,348.0,528,1741,4,11
60660,12,03/15/2020,03/21/2020,7.0,8.0,52,64,0,0
60608,12,03/15/2020,03/21/2020,5.0,6.0,86,97,0,0
60610,11,03/08/2020,03/14/2020,,,15,19,0,0
60623,11,03/08/2020,03/14/2020,,,4,7,0,0
