city,transportation_type,date,value
Chicago,transit,2020-05-02,26.35
Chicago,transit,2020-05-03,24.67
Chicago,transit,2020-05-04,25.12
Chicago,transit,2020-05-05,24.96
Chicago,transit,2020-05-06,27.13
Chicago,walking,2020-01-13,100.0
Chicago,walking,2020-01-14,104.58
Chicago,walking,2020-01-15,107.2
Chicago,walking,2020-01-16,104.82
Chicago,walking,2020-01-17,128.05
Chicago,walking,2020-01-18,142.28
Chicago,walking,2020-01-19,94.61
Chicago,walking,2020-01-20,94.64
Chicago,walking,2020-01-21,90.79
Chicago,walking,2020-01-22,96.11
Chicago,walking,2020-01-23,97.16
Chicago,walking,2020-01-24,128.42
Chicago,walking,2020-01-25,145.78
Chicago,walking,2020-01-26,92.82
Chicago,walking,2020-01-27,92.37
Chicago,walking,2020-01-28,93.16
Chicago,walking,2020-01-29,94.11
Chicago,walking,2020-01-30,100.39
Chicago,walking,2020-01-31,135.92
Chicago,walking,2020-02-01,152.61
Chicago,walking,2020-02-02,105.94
Chicago,walking,2020-02-03,96.07
Chicago,walking,2020-02-04,94.47
Chicago,walking,2020-02-05,95.46
Chicago,walking,2020-02-06,97.42
Chicago,walking,2020-02-07,132.03
Chicago,walking,2020-02-08,162.66
Chicago,walking,2020-02-09,92.79
Chicago,walking,2020-02-10,95.88
Chicago,walking,2020-02-11,100.79
Chicago,walking,2020-02-12,100.75
Chicago,walking,2020-02-13,108.59
Chicago,walking,2020-02-14,169.24
Chicago,walking,2020-02-15,202.36
Chicago,walking,2020-02-16,153.66
Chicago,walking,2020-02-17,107.31
Chicago,walking,2020-02-18,101.66
Chicago,walking,2020-02-19,103.78
Chicago,walking,2020-02-20,109.88
Chicago,walking,2020-02-21,152.73
Chicago,walking,2020-02-22,197.98
Chicago,walking,2020-02-23,132.62
Chicago,walking,2020-02-24,94.5
Chicago,walking,2020-02-25,91.12
Chicago,walking,2020-02-26,95.13
Chicago,walking,2020-02-27,111.01
Chicago,walking,2020-02-28,153.08
Chicago,walking,2020-02-29,190.37
Chicago,walking,2020-03-01,137.23
Chicago,walking,2020-03-02,110.47
Chicago,walking,2020-03-03,110.86
Chicago,walking,2020-03-04,115.71
Chicago,walking,2020-03-05,121.4
Chicago,walking,2020-03-06,152.14
Chicago,walking,2020-03-07,210.66
Chicago,walking,2020-03-08,152.32
Chicago,walking,2020-03-09,99.89
Chicago,walking,2020-03-10,114.13
Chicago,walking,2020-03-11,109.88
Chicago,walking,2020-03-12,113.02
Chicago,walking,2020-03-13,145.88
Chicago,walking,2020-03-14,154.52
Chicago,walking,2020-03-15,85.03
Chicago,walking,2020-03-16,64.43
Chicago,walking,2020-03-17,69.29
Chicago,walking,2020-03-18,47.92
Chicago,walking,2020-03-19,47.39
Chicago,walking,2020-03-20,52.42
Chicago,walking,2020-03-21,44.05
Chicago,walking,2020-03-22,30.86
Chicago,walking,2020-03-23,38.71
Chicago,walking,2020-03-24,43.43
Chicago,walking,2020-03-25,52.92
Chicago,walking,2020-03-26,39.76
Chicago,walking,2020-03-27,44.42
Chicago,walking,2020-03-28,41.54
Chicago,walking,2020-03-29,34.73
Chicago,walking,2020-03-30,42.66
Chicago,walking,2020-03-31,40.45
Chicago,walking,2020-04-01,46.02
Chicago,walking,2020-04-02,49.62
Chicago,walking,2020-04-03,58.08
Chicago,walking,2020-04-04,47.03
Chicago,walking,2020-04-05,43.43
Chicago,walking,2020-04-06,45.63
Chicago,walking,2020-04-07,59.13
Chicago,walking,2020-04-08,46.38
Chicago,walking,2020-04-09,43.13
Chicago,walking,2020-04-10,53.01
Chicago,walking,2020-04-11,54.02
Chicago,walking,2020-04-12,38.82
Chicago,walking,2020-04-13,42.32
Chicago,walking,2020-04-14,41.34
Chicago,walking,2020-04-15,41.05
Chicago,walking,2020-04-16,47.57
Chicago,walking,2020-04-17,46.64
Chicago,walking,2020-04-18,62.15
Chicago,walking,2020-04-19,53.67
Chicago,walking,2020-04-20,56.26
Chicago,walking,2020-04-21,50.12
Chicago,walking,2020-04-22,46.18
Chicago,walking,2020-04-23,48.73
Chicago,walking,2020-04-24,55.14
Chicago,walking,2020-04-25,46.7
Chicago,walking,2020-04-26,56.41
Chicago,walking,2020-04-27,48.9
Chicago,walking,2020-04-28,52.88
Chicago,walking,2020-04-29,42.55
Chicago,walking,2020-04-30,52.79
Chicago,walking,2020-05-01,69.78
Chicago,walking,2020-05-02,82.16
Chicago,walking,2020-05-03,64.79
Chicago,walking,2020-05-04,52.8
Chicago,walking,2020-05-05,49.94
Chicago,walking,2020-05-06,63.42
