stop_id,object_id,route,address,longitude,latitude,zip_code
9890,2895,68,Northwest Hwy & Bryn Mawr,-87.78189516,41.98279324,60630
9647,2896,91,Austin & Grand,-87.77552026,41.92076102,60639
4666,2897,55N,Narragansett & 55th Street,-87.78170105,41.79215692,60638
15031,2898,"N5,6,26,71",S. Shore Drive & 79th Street,-87.54830314,41.75207908,60649
12805,2899,12,Indiana & 16th Street,-87.62252790000001,41.86040604,60605
9839,2900,88,Harlem Blue Line Station,-87.80712208,41.9822963,60656
8212,2901,49,Western & Armitage,-87.68753555,41.91767102,60647
5884,2902,8,Halsted & 61st Street,-87.64477528,41.78319558,60621
2198,2903,3,King Drive & 31st Street,-87.61755622,41.83854292,60616
2326,2904,29,State & Pershing,-87.62629943,41.82361194,60609
2121,2905,3,King Drive & 79th Street,-87.61487151,41.75130653,60619
4712,2906,53A,Pulaski & 63rd Street,-87.72260073,41.77852849,60629
14150,2907,"77,151,156",Belmont & Halsted Terminal,-87.64876851,41.94021911,60657
11758,2908,86,Narragansett & Addison,-87.786225,41.945578000000005,60634
15495,2909,"J14,15",Jeffery & 87th Street,-87.57562565,41.73696056,60617
3870,2910,57,Laramie & Ohio,-87.75538399999999,41.891163,60644
4194,2911,94,California & Ogden,-87.69566203,41.86113458,60608
4606,2912,"54B,62",Cicero & Archer,-87.74273032,41.79847147,60632
11630,2913,85,Central & Higgins,-87.76745586,41.97015064,60630
2167,2914,3,King Drive & 35th Street,-87.61685334,41.83146567,60616
1170,2915,151,Sheridan & Irving Park,-87.65447745,41.95464582,60613
11248,2916,82,Homan & Augusta,-87.71148000000001,41.89906,60651
9462,2917,87,87th Street & South Chicago,-87.56642826,41.73725316,60617
11085,2918,76,Diversey & Cicero,-87.74637134,41.93160721,60641
17229,2919,"9,X9",Ashland & 18th Street,-87.66600159,41.85806609,60608
15931,2920,81,Lawrence & California,-87.69888391,41.96860122,60625
4818,2921,"92,93",Foster & Kedzie,-87.70844946,41.97582525,60625
3115,2922,47,47th Street & Kedzie,-87.70425837,41.80818686,60632
788,2923,65,Grand & Damen,-87.67672064,41.89092435,60622
14969,2924,60,26th Street & Kedzie,-87.70522148,41.84456523,60623
9346,2925,77,Belmont & Oak Park,-87.79558107,41.93824434,60634
12080,2926,96,Touhy & Sacramento,-87.70424898,42.01204756,60645
13022,2927,59,60th Street & Stony Island,-87.58694104,41.78618935,60637
15462,2928,74,Fullerton & Menard,-87.77112314,41.92398394,60639
126,2929,126,Jackson & Homan,-87.71111733,41.87735315,60624
3505,2930,,95th Street & Halsted,-87.64341999999999,41.72136,60628
17459,2931,77,Belmont & Laramie,-87.75636949,41.9386466,60641
17493,2932,80,Irving Park & Western,-87.68816718,41.95392486,60618
6447,2933,24,Wentworth & 70th Street,-87.62974200000001,41.767140000000005,60621
6550,2934,24,Vincennes & 78th Street,-87.63377,41.752868,60620
