Zip,Tested,Positive Cases,Deaths
62681,143,6,N/A
62684,381,69,N/A
62702,1511,61,N/A
62703,1328,53,N/A
62704,1473,38,N/A
62707,268,17,N/A
62711,742,21,N/A
62801,750,51,N/A
62832,284,16,N/A
62837,307,7,N/A
62864,741,84,N/A
62882,95,10,N/A
62901,787,103,N/A
62902,111,13,N/A
62906,483,51,N/A
62907,63,14,N/A
62912,42,7,N/A
62918,257,13,N/A
62920,204,55,N/A
62948,317,8,N/A
62959,707,25,N/A
62966,486,47,N/A
62992,116,32,N/A
